央视频道,#genre#
青海卫视,http://192.168.123.1:8888/udp/239.253.240.195:8000
青海卫视,http://192.168.123.1:8888/udp/239.253.240.54:8000

重庆卫视,http://192.168.123.1:8888/udp/239.253.240.38:8000

江西卫视,http://192.168.123.1:8888/udp/239.253.240.47:8000

山东教育卫视,http://192.168.123.1:8888/udp/239.253.240.59:8000

云南卫视,http://192.168.123.1:8888/udp/239.253.240.196:8000

广西卫视,http://192.168.123.1:8888/udp/239.253.240.197:8000



山西卫视,http://192.168.123.1:8888/udp/239.253.240.48:8000

陕西卫视,http://192.168.123.1:8888/udp/239.253.240.49:8000

宁夏卫视,http://192.168.123.1:8888/udp/239.253.240.53:8000

西藏卫视,http://192.168.123.1:8888/udp/239.253.240.56:8000

兵团卫视,http://192.168.123.1:8888/udp/239.253.240.57:8000

内蒙古卫视,http://192.168.123.1:8888/udp/239.253.240.58:8000

新疆卫视,http://192.168.123.1:8888/udp/239.253.240.60:8000

大湾区卫视,http://192.168.123.1:8888/udp/239.253.240.069:8000

农林卫视,http://192.168.123.1:8888/udp/239.253.240.70:8000

厦门卫视,http://192.168.123.1:8888/udp/239.253.240.106:8000

延边卫视,http://192.168.123.1:8888/udp/239.253.240.121:8000

三沙卫视,http://192.168.123.1:8888/udp/239.253.240.171:8000





地方频道,#genre#

山东体育,http://192.168.123.1:8888/udp/239.253.240.81:8000
山东体育,http://192.168.123.1:8888/udp/239.253.240.158:8000

山东生活,http://192.168.123.1:8888/udp/239.253.240.151:8000
山东生活,http://192.168.123.1:8888/udp/239.253.240.20:8000

山东综艺,http://192.168.123.1:8888/udp/239.253.240.159:8000
山东综艺,http://192.168.123.1:8888/udp/239.253.240.21:8000

山东文旅,http://192.168.123.1:8888/udp/239.253.240.160:8000
山东文旅,http://192.168.123.1:8888/udp/239.253.240.19:8000

山东体育休闲,http://192.168.123.1:8888/udp/239.253.240.22:8000

山东新闻,http://192.168.123.1:8888/udp/239.253.240.23:8000

山东农科,http://192.168.123.1:8888/udp/239.253.240.24:8000

山东少儿,http://192.168.123.1:8888/udp/239.253.240.25:8000

卡酷少儿,http://192.168.123.1:8888/udp/239.253.240.66:8000

金鹰纪实,http://192.168.123.1:8888/udp/239.253.240.103:8000

山东居家购物,http://192.168.123.1:8888/udp/239.253.240.104:8000

山东齐鲁,http://192.168.123.1:8888/udp/239.253.240.114:8000

金鹰卡通,http://192.168.123.1:8888/udp/239.253.240.117:8000

梨园频道,http://192.168.123.1:8888/udp/239.253.240.139:8000

武术世界,http://192.168.123.1:8888/udp/239.253.240.140:8000

文物宝库,http://192.168.123.1:8888/udp/239.253.240.141:8000

茶频道,http://192.168.123.1:8888/udp/239.253.240.143:8000

快乐垂钓,http://192.168.123.1:8888/udp/239.253.240.144:8000

岱岳,http://192.168.123.1:8888/udp/239.253.240.245:8000

宁阳综合,http://192.168.123.1:8888/udp/239.253.240.247:8000

东平综合,http://192.168.123.1:8888/udp/239.253.240.249:8000

肥城综合,http://192.168.123.1:8888/udp/239.253.240.251:8000

泰安综合,http://192.168.123.1:8888/udp/239.253.240.252:8000

泰安经济生活,http://192.168.123.1:8888/udp/239.253.240.253:8000



先锋乒羽,http://192.168.123.1:8888/udp/239.253.240.145:8000
先锋乒羽,http://192.168.123.1:8888/udp/239.253.240.155:8000

财富天下,http://192.168.123.1:8888/udp/239.253.240.147:8000
财富天下,http://192.168.123.1:8888/udp/239.253.240.230:8000

山东国际,http://192.168.123.1:8888/udp/239.253.240.26:8000

嘉佳卡通,http://192.168.123.1:8888/udp/239.253.240.65:8000

新泰乡村,http://192.168.123.1:8888/udp/239.253.240.246:8000

宁阳2,http://192.168.123.1:8888/udp/239.253.240.248:8000

新泰综合,http://192.168.123.1:8888/udp/239.253.240.250:8000





其他频道,#genre#

都市剧场,http://192.168.123.1:8888/udp/239.253.240.98:8000
都市剧场,http://192.168.123.1:8888/udp/239.253.240.178:8000

海洋频道,http://192.168.123.1:8888/udp/239.253.240.67:8000

东方财经,http://192.168.123.1:8888/udp/239.253.240.94:8000

游戏风云,http://192.168.123.1:8888/udp/239.253.240.95:8000

法治天下,http://192.168.123.1:8888/udp/239.253.240.96:8000

乐游,http://192.168.123.1:8888/udp/239.253.240.97:8000

生活时尚,http://192.168.123.1:8888/udp/239.253.240.99:8000

魅力足球,http://192.168.123.1:8888/udp/239.253.240.100:8000

金色学堂,http://192.168.123.1:8888/udp/239.253.240.101:8000

4K测试,http://192.168.123.1:8888/udp/239.253.240.102:8000

动漫秀场,http://192.168.123.1:8888/udp/239.253.240.115:8000

精彩影视,http://192.168.123.1:8888/udp/239.253.240.142:8000

九宫格,http://192.168.123.1:8888/udp/239.253.240.167:8000

